,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,AcceptedCmpOverall,groupAge,NumPurchases,MntProducts,Education,compraron_mes,NoAccepterCmpOverall,Accmost1,marital_status,Kidhomemost1,teenhomemost1,AcceptDeal
10,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,44,2752,0,1,0,0,0,0,1,0,0,0,0,Middle-Aged Adults,5,45,education_Basic,1,1,0,marital_Married,0,0,1
11,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,61,2385,1,0,0,0,0,0,0,1,0,0,0,Old Adults,15,1072,education_Graduation,1,1,0,marital_Divorced,0,0,1
12,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,68,2385,1,0,0,0,0,0,0,0,1,0,0,Old Adults,12,296,education_Master,1,1,0,marital_Divorced,1,1,1
13,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,33,2786,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,4,41,education_Graduation,1,1,0,marital_Married,0,0,1
14,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,74,2741,0,0,1,0,0,0,0,0,0,1,2,Old Adults,25,1270,education_PhD,0,0,1,marital_Single,0,0,1
15,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,40,2711,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,6,92,education_Graduation,1,1,0,marital_Married,1,1,1
16,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,74,2826,0,0,0,1,0,0,0,1,0,0,0,Old Adults,11,289,education_Graduation,0,1,0,marital_Together,0,0,1
17,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,71,2617,0,1,0,0,0,0,0,0,1,0,1,Old Adults,24,1606,education_Master,1,0,0,marital_Married,0,1,1
18,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,35,2762,0,0,1,0,0,1,0,0,0,0,0,Middle-Aged Adults,6,94,education_2n Cycle,1,1,0,marital_Single,1,0,1
19,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,38,2849,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,11,268,education_Graduation,1,1,0,marital_Married,0,0,1
20,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,41,2698,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,28,1729,education_Graduation,1,1,0,marital_Married,1,0,1
21,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,71,2712,0,1,0,0,0,0,0,0,0,1,1,Old Adults,14,953,education_PhD,1,0,0,marital_Married,0,1,1
22,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,66,2328,0,1,0,0,0,0,0,0,0,1,0,Old Adults,17,539,education_PhD,0,1,0,marital_Married,0,1,1
23,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,69,2627,0,0,0,1,0,0,0,1,0,0,0,Old Adults,13,345,education_Graduation,1,1,0,marital_Together,0,1,1
24,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,51,2702,0,0,1,0,0,0,0,1,0,0,0,Middle-Aged Adults,6,62,education_Graduation,1,1,0,marital_Single,0,0,1
25,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,44,2557,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,10,216,education_Graduation,0,1,0,marital_Married,1,1,1
26,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,31,2553,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,7,121,education_Graduation,0,1,0,marital_Married,1,0,1
27,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,55,2378,0,1,0,0,0,0,0,0,0,1,1,Middle-Aged Adults,25,1672,education_PhD,1,0,0,marital_Married,0,0,1
28,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,31,2197,1,0,0,0,0,0,0,0,1,0,0,Middle-Aged Adults,6,26,education_Master,1,1,0,marital_Divorced,0,0,1
29,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,57,2573,0,0,0,1,0,0,0,0,1,0,0,Middle-Aged Adults,10,229,education_Master,1,1,0,marital_Together,0,0,1
30,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,50,2786,0,0,0,1,0,0,0,1,0,0,1,Middle-Aged Adults,7,117,education_Graduation,1,0,0,marital_Together,0,1,1
31,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,68,2767,1,0,0,0,0,0,0,0,0,1,0,Old Adults,11,259,education_PhD,0,1,0,marital_Divorced,0,1,1
32,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,74,2653,0,1,0,0,0,0,0,0,1,0,0,Old Adults,17,1174,education_Master,0,1,0,marital_Married,0,0,1
33,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,69,2463,0,0,1,0,0,0,0,0,1,0,0,Old Adults,5,62,education_Master,1,1,0,marital_Single,1,1,1
34,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,50,2339,0,1,0,0,0,0,0,0,0,1,0,Middle-Aged Adults,23,878,education_PhD,1,1,0,marital_Married,0,1,1
35,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,44,2459,0,1,0,0,0,1,0,0,0,0,0,Middle-Aged Adults,6,45,education_2n Cycle,1,1,0,marital_Married,1,0,1
36,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,47,2297,0,0,0,0,1,0,0,1,0,0,0,Middle-Aged Adults,5,63,education_Graduation,1,1,0,marital_Widow,0,1,1
37,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,77,2672,1,0,0,0,0,0,0,0,0,1,1,Old Adults,22,860,education_PhD,1,0,0,marital_Divorced,0,0,1
38,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,40,2585,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,19,1293,education_Graduation,0,1,0,marital_Married,0,1,1
39,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,35,2633,0,1,0,0,0,0,0,0,1,0,0,Middle-Aged Adults,5,46,education_Master,1,1,0,marital_Married,1,0,1
40,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,63,2711,0,0,0,1,0,0,0,1,0,0,0,Old Adults,3,19,education_Graduation,0,1,0,marital_Together,0,1,1
41,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,45,2429,0,1,0,0,0,0,0,0,1,0,0,Middle-Aged Adults,5,19,education_Master,0,1,0,marital_Married,1,0,1
42,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,44,2160,0,0,1,0,0,0,0,1,0,0,0,Middle-Aged Adults,15,810,education_Graduation,1,1,0,marital_Single,0,0,1
43,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,24,2756,0,1,0,0,0,1,0,0,0,0,0,Young Adults,7,72,education_2n Cycle,0,1,0,marital_Married,0,0,1
44,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,52,2560,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,4,42,education_Graduation,1,1,0,marital_Together,1,0,1
45,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,66,2757,0,1,0,0,0,0,0,0,0,1,0,Old Adults,19,1281,education_PhD,1,1,0,marital_Married,1,1,1
46,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,63,2207,0,0,0,0,1,0,0,1,0,0,0,Old Adults,16,493,education_Graduation,0,1,0,marital_Widow,0,1,1
47,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,56,2846,0,1,0,0,0,0,0,0,1,0,0,Middle-Aged Adults,28,1661,education_Master,0,1,0,marital_Married,0,0,1
48,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,43,2702,0,0,1,0,0,0,0,1,0,0,0,Middle-Aged Adults,5,69,education_Graduation,1,1,0,marital_Single,1,0,1
49,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,43,2181,1,0,0,0,0,0,0,1,0,0,2,Middle-Aged Adults,20,1376,education_Graduation,1,0,1,marital_Divorced,0,0,1
50,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,42,2541,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,16,497,education_Graduation,1,1,0,marital_Married,1,1,1
51,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,65,2746,0,0,0,1,0,0,0,0,1,0,1,Old Adults,26,1767,education_Master,1,0,0,marital_Together,0,0,1
52,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,54,2612,1,0,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,20,1053,education_Graduation,0,1,0,marital_Divorced,0,0,1
53,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,32,2221,0,0,1,0,0,0,0,1,0,0,0,Middle-Aged Adults,5,24,education_Graduation,1,1,0,marital_Single,1,0,1
54,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,52,2277,0,1,0,0,0,0,0,0,0,1,0,Middle-Aged Adults,16,475,education_PhD,1,1,0,marital_Married,0,1,1
55,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,38,2519,0,0,1,0,0,0,0,0,1,0,2,Middle-Aged Adults,20,1358,education_Master,0,0,1,marital_Single,0,0,1
56,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,45,2819,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,18,606,education_Graduation,0,1,0,marital_Together,1,1,1
57,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,68,2655,0,0,1,0,0,0,0,1,0,0,0,Old Adults,20,715,education_Graduation,0,1,0,marital_Single,0,1,1
58,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,69,2542,0,0,0,0,1,0,0,0,0,1,0,Old Adults,18,600,education_PhD,0,1,0,marital_Widow,0,1,1
59,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,72,2364,0,0,0,1,0,0,0,1,0,0,0,Old Adults,15,1046,education_Graduation,0,1,0,marital_Together,0,0,1
60,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,49,2563,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,4,19,education_Graduation,1,1,0,marital_Married,1,0,1
61,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,53,2208,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,3,11,education_Graduation,0,1,0,marital_Together,1,1,1
62,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,41,2261,0,0,1,0,0,1,0,0,0,0,2,Middle-Aged Adults,31,1236,education_2n Cycle,0,0,1,marital_Single,0,1,1
63,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,62,2434,0,0,0,1,0,0,0,1,0,0,0,Old Adults,17,544,education_Graduation,0,1,0,marital_Together,0,1,1
64,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,50,2606,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,12,1489,education_Graduation,1,1,0,marital_Together,1,1,1
65,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,66,2815,0,1,0,0,0,0,0,0,1,0,0,Old Adults,18,1241,education_Master,0,1,0,marital_Married,0,0,1
66,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,61,2628,0,1,0,0,0,0,0,1,0,0,0,Old Adults,26,777,education_Graduation,0,1,0,marital_Married,0,1,1
67,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,45,2609,0,1,0,0,0,0,0,0,0,1,1,Middle-Aged Adults,19,642,education_PhD,1,0,0,marital_Married,1,1,1
68,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,68,2219,0,1,0,0,0,0,0,1,0,0,0,Old Adults,7,56,education_Graduation,1,1,0,marital_Married,0,0,1
69,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,43,2716,1,0,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,3,12,education_Graduation,1,1,0,marital_Divorced,1,0,1
70,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,48,2830,0,1,0,0,0,0,0,0,1,0,0,Middle-Aged Adults,18,1872,education_Master,1,1,0,marital_Married,0,0,1
71,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,44,2784,0,0,1,0,0,0,0,1,0,0,1,Middle-Aged Adults,22,2158,education_Graduation,1,0,0,marital_Single,0,0,0
72,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,44,2457,0,0,0,1,0,1,0,0,0,0,0,Middle-Aged Adults,3,9,education_2n Cycle,0,1,0,marital_Together,0,0,1
73,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,55,2702,0,0,0,1,0,0,0,1,0,0,1,Middle-Aged Adults,19,641,education_Graduation,0,0,0,marital_Together,0,0,1
74,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,35,2828,0,0,1,0,0,0,0,1,0,0,0,Middle-Aged Adults,8,148,education_Graduation,1,1,0,marital_Single,1,0,1
75,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,51,2530,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,3,12,education_Graduation,0,1,0,marital_Married,1,0,1
76,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,47,2520,0,1,0,0,0,1,0,0,0,0,0,Middle-Aged Adults,6,56,education_2n Cycle,1,1,0,marital_Married,1,0,1
77,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,57,2573,0,0,0,1,0,0,0,0,1,0,0,Middle-Aged Adults,10,229,education_Master,1,1,0,marital_Together,0,0,1
78,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,33,2283,1,0,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,26,702,education_Graduation,0,1,0,marital_Divorced,0,0,1
79,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,60,2481,0,1,0,0,0,0,0,1,0,0,0,Old Adults,5,53,education_Graduation,1,1,0,marital_Married,1,1,1
80,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,50,2507,0,1,0,0,0,0,0,0,1,0,1,Middle-Aged Adults,8,146,education_Master,1,0,0,marital_Married,1,1,1
81,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,63,2191,0,0,1,0,0,0,0,1,0,0,2,Old Adults,13,338,education_Graduation,0,0,1,marital_Single,0,1,1
82,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,47,2207,0,1,0,0,0,0,0,1,0,0,1,Middle-Aged Adults,18,1221,education_Graduation,1,0,0,marital_Married,0,0,1
83,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,53,2318,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,9,187,education_Graduation,1,1,0,marital_Together,0,1,1
84,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,48,2257,0,0,1,0,0,0,0,0,1,0,0,Middle-Aged Adults,4,28,education_Master,1,1,0,marital_Single,1,0,1
85,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,50,2195,0,1,0,0,0,0,0,0,0,1,0,Middle-Aged Adults,7,43,education_PhD,1,1,0,marital_Married,1,0,1
86,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,37,2197,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,5,36,education_Graduation,0,1,0,marital_Married,1,0,1
87,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,60,2743,0,0,0,0,1,0,0,1,0,0,1,Old Adults,17,531,education_Graduation,1,0,0,marital_Widow,0,1,1
88,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,48,2603,1,0,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,5,61,education_Graduation,1,1,0,marital_Divorced,1,1,1
89,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,69,2369,0,1,0,0,0,1,0,0,0,0,1,Old Adults,24,755,education_2n Cycle,1,0,0,marital_Married,0,0,1
90,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,37,2533,0,1,0,0,0,0,0,0,0,1,0,Middle-Aged Adults,14,399,education_PhD,1,1,0,marital_Married,0,0,1
91,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,60,2500,0,0,1,0,0,1,0,0,0,0,0,Old Adults,5,62,education_2n Cycle,0,1,0,marital_Single,0,1,1
92,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,61,2250,0,0,1,0,0,0,0,0,0,1,0,Old Adults,5,50,education_PhD,1,1,0,marital_Single,0,1,1
93,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,41,2594,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,25,1058,education_Graduation,1,1,0,marital_Together,0,1,1
94,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,75,2567,0,1,0,0,0,0,0,0,0,1,0,Old Adults,15,1039,education_PhD,1,1,0,marital_Married,0,0,1
95,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,61,2211,0,1,0,0,0,0,0,1,0,0,0,Old Adults,19,1059,education_Graduation,1,1,0,marital_Married,0,0,1
96,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,41,2360,0,0,0,1,0,0,1,0,0,0,0,Middle-Aged Adults,4,20,education_Basic,1,1,0,marital_Together,1,0,1
97,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,56,2437,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,9,180,education_Graduation,0,1,0,marital_Married,1,1,1
98,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,51,2671,0,1,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,22,845,education_Graduation,1,1,0,marital_Married,0,1,1
99,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,42,2716,0,0,1,0,0,0,0,1,0,0,0,Middle-Aged Adults,7,118,education_Graduation,0,1,0,marital_Single,1,0,1
100,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,60,2728,0,1,0,0,0,0,0,0,1,0,0,Old Adults,13,807,education_Master,0,1,0,marital_Married,0,0,1
101,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,41,2398,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,23,890,education_Graduation,1,1,0,marital_Together,0,1,1
102,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,29,2755,0,0,1,0,0,0,0,0,0,1,1,Young Adults,16,1734,education_PhD,1,0,0,marital_Single,0,0,1
103,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,57,2163,0,0,0,1,0,0,0,0,1,0,1,Middle-Aged Adults,17,548,education_Master,0,0,0,marital_Together,0,1,1
104,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,29,2702,0,0,1,0,0,0,0,1,0,0,2,Young Adults,24,708,education_Graduation,1,0,1,marital_Single,0,0,1
105,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,40,2723,0,1,0,0,0,0,0,0,0,1,0,Middle-Aged Adults,16,479,education_PhD,0,1,0,marital_Married,1,0,1
106,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,58,2451,0,0,1,0,0,0,0,1,0,0,0,Middle-Aged Adults,6,87,education_Graduation,0,1,0,marital_Single,1,1,1
107,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,50,2315,0,1,0,0,0,0,0,1,0,0,2,Middle-Aged Adults,15,1691,education_Graduation,0,0,1,marital_Married,0,0,0
108,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,42,2654,0,1,0,0,0,1,0,0,0,0,0,Middle-Aged Adults,15,457,education_2n Cycle,1,1,0,marital_Married,1,0,1
109,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,53,2512,0,0,0,1,0,1,0,0,0,0,0,Middle-Aged Adults,5,51,education_2n Cycle,1,1,0,marital_Together,1,1,1
110,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,51,2386,0,0,0,1,0,0,0,1,0,0,0,Middle-Aged Adults,5,30,education_Graduation,1,1,0,marital_Together,1,0,1
111,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,67,2533,0,0,0,1,0,0,0,0,1,0,0,Old Adults,18,612,education_Master,1,1,0,marital_Together,0,1,1
112,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,53,2284,0,0,1,0,0,0,0,0,1,0,0,Middle-Aged Adults,6,70,education_Master,0,1,0,marital_Single,1,0,1
113,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,35,2457,0,1,0,0,0,0,0,0,1,0,0,Middle-Aged Adults,4,23,education_Master,1,1,0,marital_Married,1,0,1
114,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,44,2592,1,0,0,0,0,0,0,1,0,0,0,Middle-Aged Adults,4,41,education_Graduation,1,1,0,marital_Divorced,1,0,1
115,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,37,2633,0,0,1,0,0,0,0,1,0,0,3,Middle-Aged Adults,27,967,education_Graduation,1,0,1,marital_Single,0,0,0
